ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,action,successful,pos_x,pos_y
KEY-20190413CHINC-0,RAW-20190413CHINC-7,20190413CHINC,1,0:20,0:40,163,CHI,recovery,\N,30.6,26.4
KEY-20190413CHINC-1,RAW-20190413CHINC-13,20190413CHINC,1,0:22,0:42,254,NC,challenge,1,58.7,47.5
KEY-20190413CHINC-2,RAW-20190413CHINC-14,20190413CHINC,1,0:22,0:42,34,CHI,challenge,0,46.3,20.5
KEY-20190413CHINC-3,RAW-20190413CHINC-22,20190413CHINC,1,0:26,0:46,117,CHI,recovery,\N,56.0,30.4
KEY-20190413CHINC-4,RAW-20190413CHINC-39,20190413CHINC,1,1:02,1:22,80,CHI,recovery,\N,31.0,12.3
KEY-20190413CHINC-5,RAW-20190413CHINC-45,20190413CHINC,1,1:10,1:30,125,NC,recovery,\N,14.3,34.8
KEY-20190413CHINC-6,RAW-20190413CHINC-50,20190413CHINC,1,1:19,1:39,45,CHI,recovery,\N,37.9,58.3
KEY-20190413CHINC-7,RAW-20190413CHINC-60,20190413CHINC,1,1:35,1:55,54,NC,challenge,0,64.4,8.0
KEY-20190413CHINC-8,RAW-20190413CHINC-61,20190413CHINC,1,1:35,1:55,222,CHI,challenge,1,40.6,60.0
KEY-20190413CHINC-9,RAW-20190413CHINC-63,20190413CHINC,1,1:35,1:55,161,CHI,recovery,\N,44.8,61.5
KEY-20190413CHINC-10,RAW-20190413CHINC-70,20190413CHINC,1,1:44,2:04,244,NC,recovery,\N,65.8,63.0
KEY-20190413CHINC-11,RAW-20190413CHINC-75,20190413CHINC,1,1:47,2:07,254,NC,dribble,1,58.9,51.6
KEY-20190413CHINC-12,RAW-20190413CHINC-86,20190413CHINC,1,1:58,2:18,140,NC,dribble,1,73.4,4.4
KEY-20190413CHINC-13,RAW-20190413CHINC-93,20190413CHINC,1,2:02,2:22,146,NC,challenge,0,97.9,33.4
KEY-20190413CHINC-14,RAW-20190413CHINC-98,20190413CHINC,1,2:02,2:22,163,CHI,challenge,1,7.1,34.6
KEY-20190413CHINC-15,RAW-20190413CHINC-114,20190413CHINC,1,2:42,3:02,54,NC,recovery,\N,76.8,31.5
KEY-20190413CHINC-16,RAW-20190413CHINC-125,20190413CHINC,1,2:48,3:08,254,NC,challenge,1,69.4,41.5
KEY-20190413CHINC-17,RAW-20190413CHINC-126,20190413CHINC,1,2:48,3:08,117,CHI,challenge,0,35.6,26.5
KEY-20190413CHINC-18,RAW-20190413CHINC-138,20190413CHINC,1,2:53,3:13,45,CHI,challenge,0,14.3,35.7
KEY-20190413CHINC-19,RAW-20190413CHINC-139,20190413CHINC,1,2:53,3:13,146,NC,challenge,1,90.7,32.3
KEY-20190413CHINC-20,RAW-20190413CHINC-152,20190413CHINC,1,3:24,3:44,65,CHI,challenge,0,45.8,24.2
KEY-20190413CHINC-21,RAW-20190413CHINC-153,20190413CHINC,1,3:24,3:44,254,NC,challenge,1,59.2,43.8
KEY-20190413CHINC-22,RAW-20190413CHINC-163,20190413CHINC,1,3:58,4:18,65,CHI,challenge,1,11.7,26.5
KEY-20190413CHINC-23,RAW-20190413CHINC-167,20190413CHINC,1,3:58,4:18,152,NC,challenge,0,93.3,41.5
KEY-20190413CHINC-24,RAW-20190413CHINC-170,20190413CHINC,1,4:00,4:20,161,CHI,recovery,\N,26.8,37.0
KEY-20190413CHINC-25,RAW-20190413CHINC-175,20190413CHINC,1,4:03,4:23,254,NC,take_on,1,76.9,33.0
KEY-20190413CHINC-26,RAW-20190413CHINC-176,20190413CHINC,1,4:03,4:23,161,CHI,challenge,0,28.1,35.0
KEY-20190413CHINC-27,RAW-20190413CHINC-177,20190413CHINC,1,4:03,4:23,161,CHI,tackle,0,28.1,35.0
KEY-20190413CHINC-28,RAW-20190413CHINC-184,20190413CHINC,1,4:09,4:29,160,CHI,recovery,\N,1.6,50.9
KEY-20190413CHINC-29,RAW-20190413CHINC-190,20190413CHINC,1,4:32,4:52,152,NC,challenge,0,43.3,43.7
KEY-20190413CHINC-30,RAW-20190413CHINC-191,20190413CHINC,1,4:32,4:52,117,CHI,challenge,1,61.7,24.3
KEY-20190413CHINC-31,RAW-20190413CHINC-192,20190413CHINC,1,4:33,4:53,161,CHI,recovery,\N,67.2,28.7
KEY-20190413CHINC-32,RAW-20190413CHINC-201,20190413CHINC,1,4:35,4:55,152,NC,recovery,\N,42.7,47.8
KEY-20190413CHINC-33,RAW-20190413CHINC-212,20190413CHINC,1,5:03,5:23,65,CHI,challenge,1,27.8,11.1
KEY-20190413CHINC-34,RAW-20190413CHINC-214,20190413CHINC,1,5:03,5:23,146,NC,challenge,0,77.2,56.9
KEY-20190413CHINC-35,RAW-20190413CHINC-216,20190413CHINC,1,5:03,5:23,65,CHI,tackle,1,27.8,11.1
KEY-20190413CHINC-36,RAW-20190413CHINC-217,20190413CHINC,1,5:04,5:24,142,CHI,recovery,\N,27.8,8.6
KEY-20190413CHINC-37,RAW-20190413CHINC-231,20190413CHINC,1,5:11,5:31,65,CHI,dribble,1,33.2,18.8
KEY-20190413CHINC-38,RAW-20190413CHINC-234,20190413CHINC,1,5:12,5:32,54,NC,challenge,0,72.3,44.8
KEY-20190413CHINC-39,RAW-20190413CHINC-235,20190413CHINC,1,5:12,5:32,65,CHI,take_on,1,32.7,23.2
KEY-20190413CHINC-40,RAW-20190413CHINC-236,20190413CHINC,1,5:12,5:32,54,NC,tackle,0,72.3,44.8
KEY-20190413CHINC-41,RAW-20190413CHINC-243,20190413CHINC,1,5:16,5:36,34,CHI,challenge,1,57.4,16.4
KEY-20190413CHINC-42,RAW-20190413CHINC-244,20190413CHINC,1,5:16,5:36,34,CHI,tackle,1,57.4,16.4
KEY-20190413CHINC-43,RAW-20190413CHINC-245,20190413CHINC,1,5:16,5:36,92,NC,challenge,0,47.6,51.6
KEY-20190413CHINC-44,RAW-20190413CHINC-247,20190413CHINC,1,5:19,5:39,42,NC,recovery,\N,31.0,38.8
KEY-20190413CHINC-45,RAW-20190413CHINC-260,20190413CHINC,1,5:28,5:48,142,CHI,recovery,\N,49.2,15.1
KEY-20190413CHINC-46,RAW-20190413CHINC-282,20190413CHINC,1,5:52,6:12,152,NC,dribble,1,50.0,57.2
KEY-20190413CHINC-47,RAW-20190413CHINC-296,20190413CHINC,1,6:02,6:22,80,CHI,recovery,\N,11.8,9.5
KEY-20190413CHINC-48,RAW-20190413CHINC-301,20190413CHINC,1,6:19,6:39,142,CHI,challenge,0,13.7,6.8
KEY-20190413CHINC-49,RAW-20190413CHINC-302,20190413CHINC,1,6:19,6:39,142,CHI,tackle,0,13.7,6.8
KEY-20190413CHINC-50,RAW-20190413CHINC-303,20190413CHINC,1,6:19,6:39,92,NC,take_on,1,91.3,61.2
KEY-20190413CHINC-51,RAW-20190413CHINC-314,20190413CHINC,1,6:22,6:42,80,CHI,recovery,\N,12.5,10.2
KEY-20190413CHINC-52,RAW-20190413CHINC-318,20190413CHINC,1,6:25,6:45,64,NC,challenge,0,68.5,52.9
KEY-20190413CHINC-53,RAW-20190413CHINC-319,20190413CHINC,1,6:25,6:45,117,CHI,challenge,1,36.5,15.1
KEY-20190413CHINC-54,RAW-20190413CHINC-325,20190413CHINC,1,6:26,6:46,254,NC,recovery,\N,65.6,46.0
KEY-20190413CHINC-55,RAW-20190413CHINC-334,20190413CHINC,1,6:35,6:55,254,NC,take_on,0,71.7,26.4
KEY-20190413CHINC-56,RAW-20190413CHINC-335,20190413CHINC,1,6:35,6:55,161,CHI,tackle,1,33.3,41.6
KEY-20190413CHINC-57,RAW-20190413CHINC-336,20190413CHINC,1,6:35,6:55,161,CHI,challenge,1,33.3,41.6
KEY-20190413CHINC-58,RAW-20190413CHINC-337,20190413CHINC,1,6:35,6:55,254,NC,challenge,0,71.7,26.4
KEY-20190413CHINC-59,RAW-20190413CHINC-340,20190413CHINC,1,6:37,6:57,222,CHI,recovery,\N,29.3,41.6
KEY-20190413CHINC-60,RAW-20190413CHINC-345,20190413CHINC,1,6:38,6:58,169,NC,recovery,\N,76.4,26.4
KEY-20190413CHINC-61,RAW-20190413CHINC-364,20190413CHINC,1,7:13,7:33,34,CHI,recovery,\N,28.7,16.0
KEY-20190413CHINC-62,RAW-20190413CHINC-389,20190413CHINC,1,7:42,8:02,65,CHI,recovery,\N,36.4,17.4
KEY-20190413CHINC-63,RAW-20190413CHINC-394,20190413CHINC,1,7:49,8:09,64,NC,recovery,\N,20.2,64.5
KEY-20190413CHINC-64,RAW-20190413CHINC-413,20190413CHINC,1,8:05,8:25,163,CHI,recovery,\N,27.0,26.0
KEY-20190413CHINC-65,RAW-20190413CHINC-422,20190413CHINC,1,8:18,8:38,146,NC,challenge,0,70.3,60.0
KEY-20190413CHINC-66,RAW-20190413CHINC-423,20190413CHINC,1,8:18,8:38,80,CHI,tackle,1,34.7,8.0
KEY-20190413CHINC-67,RAW-20190413CHINC-424,20190413CHINC,1,8:18,8:38,146,NC,take_on,0,70.3,60.0
KEY-20190413CHINC-68,RAW-20190413CHINC-425,20190413CHINC,1,8:18,8:38,80,CHI,challenge,1,34.7,8.0
KEY-20190413CHINC-69,RAW-20190413CHINC-429,20190413CHINC,1,8:21,8:41,163,CHI,recovery,\N,17.6,10.9
KEY-20190413CHINC-70,RAW-20190413CHINC-447,20190413CHINC,1,8:38,8:58,244,NC,challenge,1,76.9,7.6
KEY-20190413CHINC-71,RAW-20190413CHINC-448,20190413CHINC,1,8:38,8:58,45,CHI,challenge,0,28.1,60.4
KEY-20190413CHINC-72,RAW-20190413CHINC-451,20190413CHINC,1,8:42,9:02,45,CHI,challenge,1,24.4,63.7
KEY-20190413CHINC-73,RAW-20190413CHINC-452,20190413CHINC,1,8:42,9:02,244,NC,challenge,0,80.6,4.3
KEY-20190413CHINC-74,RAW-20190413CHINC-453,20190413CHINC,1,8:42,9:02,45,CHI,tackle,1,24.4,63.7
