ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,start_pos_x,start_pos_y,receiver,end_pos_x,end_pos_y,successful,cross
PASS-20190413CHINC-0,RAW-20190413CHINC-0,20190413CHINC,1,0:14,0:34,254,NC,52.9,33.6,42.0,35.7,35.8,1,0
PASS-20190413CHINC-1,RAW-20190413CHINC-3,20190413CHINC,1,0:16,0:36,42,NC,35.7,35.8,163.0,74.4,41.6,0,0
PASS-20190413CHINC-2,RAW-20190413CHINC-5,20190413CHINC,1,0:20,0:40,163,CHI,30.6,26.4,34.0,46.3,20.5,1,0
PASS-20190413CHINC-3,RAW-20190413CHINC-11,20190413CHINC,1,0:22,0:42,254,NC,58.7,47.5,169.0,63.9,49.2,1,0
PASS-20190413CHINC-4,RAW-20190413CHINC-18,20190413CHINC,1,0:24,0:44,169,NC,57.1,46.0,117.0,49.0,37.6,0,0
PASS-20190413CHINC-5,RAW-20190413CHINC-24,20190413CHINC,1,0:27,0:47,117,CHI,54.1,28.9,161.0,84.3,30.5,1,0
PASS-20190413CHINC-6,RAW-20190413CHINC-28,20190413CHINC,1,0:28,0:48,161,CHI,62.3,26.1,64.0,84.3,30.5,0,0
PASS-20190413CHINC-7,RAW-20190413CHINC-31,20190413CHINC,1,0:31,0:51,64,NC,20.7,37.5,125.0,15.0,33.4,1,0
PASS-20190413CHINC-8,RAW-20190413CHINC-32,20190413CHINC,1,0:36,0:56,125,NC,15.0,33.4,92.0,21.7,62.9,1,0
PASS-20190413CHINC-9,RAW-20190413CHINC-33,20190413CHINC,1,0:40,1:00,92,NC,21.7,62.9,64.0,20.2,49.3,1,0
PASS-20190413CHINC-10,RAW-20190413CHINC-34,20190413CHINC,1,0:46,1:06,64,NC,20.2,49.3,42.0,27.2,18.9,1,0
PASS-20190413CHINC-11,RAW-20190413CHINC-35,20190413CHINC,1,0:52,1:12,42,NC,27.2,18.9,64.0,28.7,48.1,1,0
PASS-20190413CHINC-12,RAW-20190413CHINC-36,20190413CHINC,1,0:56,1:16,64,NC,28.7,48.1,92.0,74.0,55.7,1,0
PASS-20190413CHINC-13,RAW-20190413CHINC-38,20190413CHINC,1,0:59,1:19,92,NC,38.2,59.0,80.0,74.0,55.7,0,0
PASS-20190413CHINC-14,RAW-20190413CHINC-40,20190413CHINC,1,1:02,1:22,80,CHI,34.9,10.1,142.0,45.7,8.4,1,0
PASS-20190413CHINC-15,RAW-20190413CHINC-41,20190413CHINC,1,1:03,1:23,142,CHI,45.7,8.4,65.0,90.7,33.2,1,0
PASS-20190413CHINC-16,RAW-20190413CHINC-44,20190413CHINC,1,1:04,1:24,65,CHI,45.2,16.3,125.0,90.7,33.2,0,0
PASS-20190413CHINC-17,RAW-20190413CHINC-46,20190413CHINC,1,1:10,1:30,125,NC,14.7,33.4,42.0,39.8,14.4,1,0
PASS-20190413CHINC-18,RAW-20190413CHINC-47,20190413CHINC,1,1:17,1:37,42,NC,39.8,14.4,45.0,67.1,9.7,0,0
PASS-20190413CHINC-19,RAW-20190413CHINC-49,20190413CHINC,1,1:19,1:39,45,CHI,37.9,58.3,140.0,48.2,68.0,0,0
PASS-20190413CHINC-20,RAW-20190413CHINC-51,20190413CHINC,1,1:30,1:50,140,NC,56.8,0.0,54.0,62.1,5.0,1,0
PASS-20190413CHINC-21,RAW-20190413CHINC-54,20190413CHINC,1,1:32,1:52,54,NC,60.6,7.6,140.0,57.4,3.3,1,0
PASS-20190413CHINC-22,RAW-20190413CHINC-58,20190413CHINC,1,1:34,1:54,140,NC,58.3,3.9,54.0,64.4,8.0,1,0
PASS-20190413CHINC-23,RAW-20190413CHINC-64,20190413CHINC,1,1:36,1:56,161,CHI,46.1,58.2,34.0,40.7,20.5,1,0
PASS-20190413CHINC-24,RAW-20190413CHINC-67,20190413CHINC,1,1:38,1:58,34,CHI,43.7,42.8,92.0,40.7,20.5,0,0
PASS-20190413CHINC-25,RAW-20190413CHINC-73,20190413CHINC,1,1:45,2:05,244,NC,63.3,59.6,254.0,55.7,50.7,1,0
PASS-20190413CHINC-26,RAW-20190413CHINC-78,20190413CHINC,1,1:49,2:09,254,NC,68.6,59.8,92.0,75.5,57.6,1,0
PASS-20190413CHINC-27,RAW-20190413CHINC-81,20190413CHINC,1,1:50,2:10,92,NC,73.0,53.8,244.0,65.6,56.1,1,0
PASS-20190413CHINC-28,RAW-20190413CHINC-83,20190413CHINC,1,1:53,2:13,244,NC,61.4,53.1,140.0,69.4,5.4,1,0
PASS-20190413CHINC-29,RAW-20190413CHINC-89,20190413CHINC,1,2:01,2:21,140,NC,91.1,8.0,146.0,97.9,33.4,1,1
PASS-20190413CHINC-30,RAW-20190413CHINC-99,20190413CHINC,1,2:33,2:53,42,NC,105.0,68.0,169.0,94.9,61.9,1,0
PASS-20190413CHINC-31,RAW-20190413CHINC-103,20190413CHINC,1,2:34,2:54,169,NC,92.4,60.8,92.0,76.9,48.4,1,0
PASS-20190413CHINC-32,RAW-20190413CHINC-106,20190413CHINC,1,2:38,2:58,92,NC,77.2,47.7,160.0,97.8,32.9,0,0
PASS-20190413CHINC-33,RAW-20190413CHINC-117,20190413CHINC,1,2:43,3:03,54,NC,77.4,33.6,34.0,88.1,45.3,0,0
PASS-20190413CHINC-34,RAW-20190413CHINC-121,20190413CHINC,1,2:45,3:05,34,CHI,16.9,22.7,142.0,23.2,26.3,1,0
PASS-20190413CHINC-35,RAW-20190413CHINC-123,20190413CHINC,1,2:47,3:07,142,CHI,23.2,26.3,117.0,35.6,26.5,1,0
PASS-20190413CHINC-36,RAW-20190413CHINC-129,20190413CHINC,1,2:51,3:11,254,NC,74.6,42.7,146.0,90.7,32.3,1,0
PASS-20190413CHINC-37,RAW-20190413CHINC-134,20190413CHINC,1,2:53,3:13,146,NC,90.7,32.3,244.0,89.4,44.4,1,0
PASS-20190413CHINC-38,RAW-20190413CHINC-149,20190413CHINC,1,3:20,3:40,160,CHI,5.1,34.4,65.0,45.8,24.2,1,0
PASS-20190413CHINC-39,RAW-20190413CHINC-150,20190413CHINC,1,3:24,3:44,254,NC,59.2,43.8,65.0,59.2,43.8,0,0
PASS-20190413CHINC-40,RAW-20190413CHINC-158,20190413CHINC,1,3:26,3:46,80,CHI,28.7,25.3,45.0,22.0,26.7,1,0
PASS-20190413CHINC-41,RAW-20190413CHINC-161,20190413CHINC,1,3:51,4:11,146,NC,92.9,68.0,152.0,93.3,41.5,1,0
