ID,game_ID,half,start_time,end_time,player_ID,team_ID,action,pos_x,pos_y
RAW-20190413CHINC-0,20190413CHINC,1,0:14,0:34,254,NC,Passes accurate,52.9,33.6
RAW-20190413CHINC-1,20190413CHINC,1,0:14,0:34,254,NC,Positional attacks,52.9,33.6
RAW-20190413CHINC-2,20190413CHINC,1,0:16,0:36,42,NC,Positional attacks,35.7,35.8
RAW-20190413CHINC-3,20190413CHINC,1,0:16,0:36,42,NC,Passes (inaccurate),35.7,35.8
RAW-20190413CHINC-4,20190413CHINC,1,0:20,0:40,163,CHI,Positional attacks,30.6,26.4
RAW-20190413CHINC-5,20190413CHINC,1,0:20,0:40,163,CHI,Passes accurate,30.6,26.4
RAW-20190413CHINC-6,20190413CHINC,1,0:20,0:40,163,CHI,Positional attacks,30.6,26.4
RAW-20190413CHINC-7,20190413CHINC,1,0:20,0:40,163,CHI,Picking-ups,30.6,26.4
RAW-20190413CHINC-8,20190413CHINC,1,0:22,0:42,254,NC,Positional attacks,58.7,47.5
RAW-20190413CHINC-9,20190413CHINC,1,0:22,0:42,254,NC,Positional attacks,58.7,47.5
RAW-20190413CHINC-10,20190413CHINC,1,0:22,0:42,34,CHI,Air challenges (lost),46.3,20.5
RAW-20190413CHINC-11,20190413CHINC,1,0:22,0:42,254,NC,Passes accurate,58.7,47.5
RAW-20190413CHINC-12,20190413CHINC,1,0:22,0:42,254,NC,Air challenges (won),58.7,47.5
RAW-20190413CHINC-13,20190413CHINC,1,0:22,0:42,254,NC,Challenges (won),58.7,47.5
RAW-20190413CHINC-14,20190413CHINC,1,0:22,0:42,34,CHI,Challenges (lost),46.3,20.5
RAW-20190413CHINC-15,20190413CHINC,1,0:23,0:43,169,NC,Positional attacks,63.9,49.2
RAW-20190413CHINC-17,20190413CHINC,1,0:24,0:44,169,NC,Lost balls (in opp. half),49.0,37.6
RAW-20190413CHINC-18,20190413CHINC,1,0:24,0:44,169,NC,Passes (inaccurate),57.1,46.0
RAW-20190413CHINC-19,20190413CHINC,1,0:24,0:44,169,NC,Lost balls,49.0,37.6
RAW-20190413CHINC-20,20190413CHINC,1,0:24,0:44,169,NC,Positional attacks,57.1,46.0
