ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,start_pos_x,start_pos_y,receiver,end_pos_x,end_pos_y,successful,cross
PASS-20180414NCWAS-0,RAW-20180414NCWAS-0,20180414NCWAS,1,0:00,0:18,McCall RaNae Zerboni,NC,52.2,34.1,Abby Dahlkemper,73.4,64.4,1,0
PASS-20180414NCWAS-1,RAW-20180414NCWAS-2,20180414NCWAS,1,0:00,0:20,Abby Dahlkemper,NC,41.7,30.6,Taylor Nicole Smith,73.4,64.4,0,0
PASS-20180414NCWAS-2,RAW-20180414NCWAS-4,20180414NCWAS,1,0:03,0:23,Taylor Nicole Smith,WAS,31.6,3.6,Jaelene Mckenzie Daniels,63.3,0.0,0,0
PASS-20180414NCWAS-3,RAW-20180414NCWAS-8,20180414NCWAS,1,0:12,0:32,Jaelene Mckenzie Daniels,NC,41.7,68.0,Jessica Marie McDonald,56.7,65.5,1,0
PASS-20180414NCWAS-4,RAW-20180414NCWAS-9,20180414NCWAS,1,0:13,0:33,Jessica Marie McDonald,NC,56.7,65.5,Lynn Williams,61.9,57.2,1,0
PASS-20180414NCWAS-5,RAW-20180414NCWAS-16,20180414NCWAS,1,0:16,0:36,Andi Maureen Sullivan,WAS,45.8,11.3,Denise O'Sullivan,53.7,10.6,0,0
PASS-20180414NCWAS-6,RAW-20180414NCWAS-21,20180414NCWAS,1,0:19,0:39,Denise O'Sullivan,NC,57.0,47.6,Crystal Alyssia Dunn,60.7,41.7,1,0
PASS-20180414NCWAS-7,RAW-20180414NCWAS-23,20180414NCWAS,1,0:21,0:41,Crystal Alyssia Dunn,NC,61.4,42.3,Whitney Church,74.6,48.1,0,0
PASS-20180414NCWAS-8,RAW-20180414NCWAS-35,20180414NCWAS,1,0:25,0:45,Estelle Laura Johnson,WAS,25.6,33.9,Caprice Dydasco,24.3,45.6,1,0
PASS-20180414NCWAS-9,RAW-20180414NCWAS-37,20180414NCWAS,1,0:28,0:48,Caprice Dydasco,WAS,24.3,45.6,Abby Dahlkemper,75.2,63.5,0,0
PASS-20180414NCWAS-10,RAW-20180414NCWAS-39,20180414NCWAS,1,0:33,0:53,Abby Dahlkemper,NC,29.8,4.5,Sabrina Victoria D'Angelo,8.0,34.2,1,0
PASS-20180414NCWAS-11,RAW-20180414NCWAS-41,20180414NCWAS,1,0:43,1:03,Sabrina Victoria D'Angelo,NC,8.0,34.2,Mallory Diane Pugh,38.9,20.8,0,0
PASS-20180414NCWAS-12,RAW-20180414NCWAS-47,20180414NCWAS,1,0:48,1:08,Mallory Diane Pugh,WAS,69.8,47.4,Francisca Ordega,73.5,63.1,1,0
PASS-20180414NCWAS-13,RAW-20180414NCWAS-50,20180414NCWAS,1,0:49,1:09,Francisca Ordega,WAS,73.2,62.6,Caprice Dydasco,63.1,61.2,1,0
PASS-20180414NCWAS-14,RAW-20180414NCWAS-53,20180414NCWAS,1,0:52,1:12,Caprice Dydasco,WAS,63.9,61.4,Sabrina Victoria D'Angelo,102.0,45.3,0,0
PASS-20180414NCWAS-15,RAW-20180414NCWAS-57,20180414NCWAS,1,1:01,1:21,Sabrina Victoria D'Angelo,NC,15.2,29.7,Abby May Erceg,18.8,47.9,1,0
