"ID";"raw_event_ID";"game_ID";"half";"start_time";"end_time";"player_ID";"team_ID";"start_pos_x";"start_pos_y";"receiver";"end_pos_x";"end_pos_y";"successful";"cross"
"PASS-20190413CHINC-0";"RAW-20190413CHINC-0";"20190413CHINC";1;"00:14:00";"00:34:00";254;"NC";52.9;33.6;42;35.7;35.8;1;0
"PASS-20190413CHINC-1";"RAW-20190413CHINC-3";"20190413CHINC";1;"00:16:00";"00:36:00";42;"NC";35.7;35.8;163;74.4;41.6;0;0
"PASS-20190413CHINC-10";"RAW-20190413CHINC-34";"20190413CHINC";1;"00:46:00";"01:06:00";64;"NC";20.2;49.3;42;27.2;18.9;1;0
"PASS-20190413CHINC-100";"RAW-20190413CHINC-405";"20190413CHINC";1;"08:01:00";"08:21:00";54;"NC";47.8;35.2;92;58.4;55.1;1;0
"PASS-20190413CHINC-101";"RAW-20190413CHINC-408";"20190413CHINC";1;"08:04:00";"08:24:00";92;"NC";61.3;51.3;163;78.0;42.0;0;0
"PASS-20190413CHINC-102";"RAW-20190413CHINC-412";"20190413CHINC";1;"08:05:00";"08:25:00";163;"CHI";27.0;26.0;0;58.0;0.0;0;0
"PASS-20190413CHINC-103";"RAW-20190413CHINC-415";"20190413CHINC";1;"08:12:00";"08:32:00";92;"NC";47.0;68.0;64;33.5;58.0;1;0
"PASS-20190413CHINC-104";"RAW-20190413CHINC-418";"20190413CHINC";1;"08:14:00";"08:34:00";64;"NC";37.1;58.5;92;44.1;64.4;1;0
"PASS-20190413CHINC-105";"RAW-20190413CHINC-421";"20190413CHINC";1;"08:17:00";"08:37:00";92;"NC";48.8;62.3;146;70.3;60.0;1;0
"PASS-20190413CHINC-106";"RAW-20190413CHINC-428";"20190413CHINC";1;"08:21:00";"08:41:00";163;"CHI";17.6;10.9;34;39.4;13.5;1;0
"PASS-20190413CHINC-107";"RAW-20190413CHINC-430";"20190413CHINC";1;"08:24:00";"08:44:00";34;"CHI";39.4;13.5;142;32.8;8.0;1;0
"PASS-20190413CHINC-108";"RAW-20190413CHINC-431";"20190413CHINC";1;"08:25:00";"08:45:00";142;"CHI";32.8;8.0;64;65.9;18.1;0;0
"PASS-20190413CHINC-109";"RAW-20190413CHINC-435";"20190413CHINC";1;"08:26:00";"08:46:00";64;"NC";39.1;49.9;254;48.8;49.9;1;0
"PASS-20190413CHINC-11";"RAW-20190413CHINC-35";"20190413CHINC";1;"00:52:00";"01:12:00";42;"NC";27.2;18.9;64;28.7;48.1;1;0
"PASS-20190413CHINC-110";"RAW-20190413CHINC-437";"20190413CHINC";1;"08:28:00";"08:48:00";254;"NC";48.8;49.9;152;41.2;44.2;1;0
"PASS-20190413CHINC-111";"RAW-20190413CHINC-439";"20190413CHINC";1;"08:30:00";"08:50:00";152;"NC";42.0;43.4;42;37.0;28.2;1;0
"PASS-20190413CHINC-112";"RAW-20190413CHINC-443";"20190413CHINC";1;"08:34:00";"08:54:00";42;"NC";47.2;21.8;140;60.0;6.1;1;0
"PASS-20190413CHINC-113";"RAW-20190413CHINC-444";"20190413CHINC";1;"08:36:00";"08:56:00";140;"NC";60.0;6.1;244;76.9;7.6;1;0
"PASS-20190413CHINC-114";"RAW-20190413CHINC-455";"20190413CHINC";1;"09:10:00";"09:30:00";146;"NC";90.4;0.0;45;102.1;19.5;0;0
"PASS-20190413CHINC-115";"RAW-20190413CHINC-460";"20190413CHINC";1;"09:36:00";"09:56:00";42;"NC";105.0;0.0;146;91.1;35.7;1;0
"PASS-20190413CHINC-116";"RAW-20190413CHINC-467";"20190413CHINC";1;"10:06:00";"10:26:00";42;"NC";105.0;68.0;163;97.7;26.8;0;0
"PASS-20190413CHINC-117";"RAW-20190413CHINC-479";"20190413CHINC";1;"10:31:00";"10:51:00";160;"CHI";14.4;27.1;142;61.6;16.9;1;0
"PASS-20190413CHINC-118";"RAW-20190413CHINC-489";"20190413CHINC";1;"10:35:00";"10:55:00";254;"NC";48.7;54.2;169;58.5;59.3;1;0
"PASS-20190413CHINC-119";"RAW-20190413CHINC-494";"20190413CHINC";1;"10:42:00";"11:02:00";65;"CHI";48.7;0.0;64;66.7;15.3;0;0
"PASS-20190413CHINC-12";"RAW-20190413CHINC-36";"20190413CHINC";1;"00:56:00";"01:16:00";64;"NC";28.7;48.1;92;74.0;55.7;1;0
"PASS-20190413CHINC-120";"RAW-20190413CHINC-497";"20190413CHINC";1;"10:45:00";"11:05:00";42;"NC";27.3;45.2;0;27.7;68.0;0;0
"PASS-20190413CHINC-121";"RAW-20190413CHINC-498";"20190413CHINC";1;"10:54:00";"11:14:00";142;"CHI";77.3;0.0;34;74.6;12.4;1;0
"PASS-20190413CHINC-122";"RAW-20190413CHINC-500";"20190413CHINC";1;"10:55:00";"11:15:00";34;"CHI";74.6;12.4;142;74.8;4.7;1;0
"PASS-20190413CHINC-123";"RAW-20190413CHINC-504";"20190413CHINC";1;"10:58:00";"11:18:00";142;"CHI";74.9;10.1;169;70.1;10.8;0;0
"PASS-20190413CHINC-124";"RAW-20190413CHINC-508";"20190413CHINC";1;"11:12:00";"11:32:00";142;"CHI";69.0;0.1;34;74.2;9.7;1;0
