ID,game_ID,passer,team,receiver,start_pos_x,start_pos_y,end_pos_x,end_pos_y,successful
PASS-20190413CHINC-0,20190413CHINC,"McCall Zerboni","North Carolina Courage","Abby Dahlkemper",52.9,33.6,35.7,35.8,1
PASS-20190413CHINC-1,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Katie Naughton",35.7,35.8,74.4,41.6,0
PASS-20190413CHINC-10,20190413CHINC,"Abby Erceg","North Carolina Courage","Abby Dahlkemper",20.2,49.3,27.2,18.9,1
PASS-20190413CHINC-100,20190413CHINC,"Crystal Dunn","North Carolina Courage","Jaelene Hinkle",47.8,35.2,58.4,55.1,1
PASS-20190413CHINC-101,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Katie Naughton",61.3,51.3,78,42,0
PASS-20190413CHINC-102,20190413CHINC,"Katie Naughton","Chicago Red Stars",NULL,27,26,58,0,0
PASS-20190413CHINC-103,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Abby Erceg",47,68,33.5,58,1
PASS-20190413CHINC-104,20190413CHINC,"Abby Erceg","North Carolina Courage","Jaelene Hinkle",37.1,58.5,44.1,64.4,1
PASS-20190413CHINC-105,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Jessica McDonald",48.8,62.3,70.3,60,1
PASS-20190413CHINC-106,20190413CHINC,"Katie Naughton","Chicago Red Stars","Danielle Colaprico",17.6,10.9,39.4,13.5,1
PASS-20190413CHINC-107,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Alyssa Mautz",39.4,13.5,32.8,8,1
PASS-20190413CHINC-108,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Abby Erceg",32.8,8,65.9,18.1,0
PASS-20190413CHINC-109,20190413CHINC,"Abby Erceg","North Carolina Courage","McCall Zerboni",39.1,49.9,48.8,49.9,1
PASS-20190413CHINC-11,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Abby Erceg",27.2,18.9,28.7,48.1,1
PASS-20190413CHINC-110,20190413CHINC,"McCall Zerboni","North Carolina Courage","Sam Mewis",48.8,49.9,41.2,44.2,1
PASS-20190413CHINC-111,20190413CHINC,"Sam Mewis","North Carolina Courage","Abby Dahlkemper",42,43.4,37,28.2,1
PASS-20190413CHINC-112,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Merritt Mathias",47.2,21.8,60,6.1,1
PASS-20190413CHINC-113,20190413CHINC,"Merritt Mathias","North Carolina Courage","Lynn Williams",60,6.1,76.9,7.6,1
PASS-20190413CHINC-114,20190413CHINC,"Jessica McDonald","North Carolina Courage","Tierna Davidson",90.4,0,102.1,19.5,0
PASS-20190413CHINC-115,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Jessica McDonald",105,0,91.1,35.7,1
PASS-20190413CHINC-116,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Katie Naughton",105,68,97.7,26.8,0
PASS-20190413CHINC-117,20190413CHINC,"Alyssa Naeher","Chicago Red Stars","Alyssa Mautz",14.4,27.1,61.6,16.9,1
PASS-20190413CHINC-118,20190413CHINC,"McCall Zerboni","North Carolina Courage","Denise O'Sullivan",48.7,54.2,58.5,59.3,1
PASS-20190413CHINC-119,20190413CHINC,"Julie Ertz","Chicago Red Stars","Abby Erceg",48.7,0,66.7,15.3,0
PASS-20190413CHINC-12,20190413CHINC,"Abby Erceg","North Carolina Courage","Jaelene Hinkle",28.7,48.1,74,55.7,1
PASS-20190413CHINC-120,20190413CHINC,"Abby Dahlkemper","North Carolina Courage",NULL,27.3,45.2,27.7,68,0
PASS-20190413CHINC-121,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Danielle Colaprico",77.3,0,74.6,12.4,1
PASS-20190413CHINC-122,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Alyssa Mautz",74.6,12.4,74.8,4.7,1
PASS-20190413CHINC-123,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Denise O'Sullivan",74.9,10.1,70.1,10.8,0
PASS-20190413CHINC-124,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Danielle Colaprico",69,0.1,74.2,9.7,1
PASS-20190413CHINC-125,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Alyssa Mautz",74.2,9.7,71.3,3.3,1
PASS-20190413CHINC-126,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Jaelene Hinkle",70.7,11.3,83.1,4.8,0
PASS-20190413CHINC-127,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","McCall Zerboni",28.2,63.2,33.6,58.5,1
PASS-20190413CHINC-128,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Jessica McDonald",35.8,68,66.4,50.3,1
PASS-20190413CHINC-129,20190413CHINC,"Katie Naughton","Chicago Red Stars","Sam Kerr",38.6,17.7,68.4,13.8,1
PASS-20190413CHINC-13,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Sarah Gorden",38.2,59,74,55.7,0
PASS-20190413CHINC-130,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Abby Erceg",31,58.2,25.3,51.7,1
PASS-20190413CHINC-131,20190413CHINC,"Abby Erceg","North Carolina Courage","Merritt Mathias",20.5,49.2,40.2,17.7,1
PASS-20190413CHINC-132,20190413CHINC,"Arin Wright","Chicago Red Stars","Sam Kerr",70.3,40.8,76.7,35.7,1
PASS-20190413CHINC-133,20190413CHINC,"Sam Mewis","North Carolina Courage","Jaelene Hinkle",23.4,45.3,31,58.3,1
PASS-20190413CHINC-134,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Jessica McDonald",42,61.8,62,60.4,1
PASS-20190413CHINC-135,20190413CHINC,"Jessica McDonald","North Carolina Courage","Denise O'Sullivan",59.8,58.7,58.1,48.5,1
PASS-20190413CHINC-136,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","McCall Zerboni",53.9,49.5,55.8,43.4,1
PASS-20190413CHINC-137,20190413CHINC,"Tierna Davidson","Chicago Red Stars","Merritt Mathias",57.8,30.1,93.2,41.3,0
PASS-20190413CHINC-138,20190413CHINC,"Merritt Mathias","North Carolina Courage","Abby Dahlkemper",11.8,26.7,15,28.6,1
PASS-20190413CHINC-139,20190413CHINC,"Julie Ertz","Chicago Red Stars","Abby Dahlkemper",90,39.4,90,39.4,0
PASS-20190413CHINC-14,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Alyssa Mautz",34.9,10.1,45.7,8.4,1
PASS-20190413CHINC-140,20190413CHINC,"Abby Erceg","North Carolina Courage","Arin Wright",10.8,30,34.3,15.2,0
PASS-20190413CHINC-141,20190413CHINC,"Arin Wright","Chicago Red Stars","Katie Naughton",68.8,59,57.9,57.5,1
PASS-20190413CHINC-142,20190413CHINC,"Arin Wright","Chicago Red Stars","Yuki Nagasato",63.3,68,68.1,54.3,1
PASS-20190413CHINC-143,20190413CHINC,"Yuki Nagasato","Chicago Red Stars","Danielle Colaprico",66.4,51.1,62.5,43.3,1
PASS-20190413CHINC-144,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Alyssa Mautz",62.5,43.3,65.9,20.6,1
PASS-20190413CHINC-145,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Sarah Gorden",65.9,20.6,51.8,31.5,1
PASS-20190413CHINC-146,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Tierna Davidson",38.5,30.1,36.5,40.4,1
PASS-20190413CHINC-147,20190413CHINC,"Tierna Davidson","Chicago Red Stars","Arin Wright",36.6,45.6,80.7,61.6,1
PASS-20190413CHINC-148,20190413CHINC,"Arin Wright","Chicago Red Stars","Merritt Mathias",63.4,66.2,80.7,61.6,0
PASS-20190413CHINC-149,20190413CHINC,"Merritt Mathias","North Carolina Courage","Stephanie Labbe",24.3,6.4,5.1,17.3,1
PASS-20190413CHINC-15,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Julie Ertz",45.7,8.4,90.7,33.2,1
PASS-20190413CHINC-150,20190413CHINC,"Stephanie Labbe","North Carolina Courage","Abby Erceg",10.8,24.9,20.2,51.7,1
PASS-20190413CHINC-151,20190413CHINC,"Abby Erceg","North Carolina Courage","Jaelene Hinkle",22.3,52,33.9,63.6,1
PASS-20190413CHINC-152,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Abby Erceg",33.9,63.6,23.2,56.4,1
PASS-20190413CHINC-153,20190413CHINC,"Abby Erceg","North Carolina Courage","Stephanie Labbe",19.8,51.7,12.3,40.1,1
PASS-20190413CHINC-154,20190413CHINC,"Stephanie Labbe","North Carolina Courage","Abby Dahlkemper",14.6,36.9,24.4,18.4,1
PASS-20190413CHINC-155,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Merritt Mathias",29.9,15.2,39.1,2.3,1
PASS-20190413CHINC-156,20190413CHINC,"Merritt Mathias","North Carolina Courage","Sam Mewis",39.2,5.4,47,17.8,1
PASS-20190413CHINC-157,20190413CHINC,"Sam Mewis","North Carolina Courage","Jessica McDonald",56.7,13.7,80.8,6.2,1
PASS-20190413CHINC-158,20190413CHINC,"Jessica McDonald","North Carolina Courage","Danielle Colaprico",97.5,20.6,85.8,48.9,0
PASS-20190413CHINC-159,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Sam Kerr",32.2,12.9,37.8,11.3,1
PASS-20190413CHINC-16,20190413CHINC,"Julie Ertz","Chicago Red Stars","Stephanie Labbe",45.2,16.3,90.7,33.2,0
PASS-20190413CHINC-160,20190413CHINC,"Sam Kerr","Chicago Red Stars","Danielle Colaprico",37.8,11.3,42,14.7,1
PASS-20190413CHINC-161,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Jaelene Hinkle",29.4,13.1,42,14.7,0
PASS-20190413CHINC-162,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Lynn Williams",67.6,62.7,78.5,59.6,1
PASS-20190413CHINC-163,20190413CHINC,"Lynn Williams","North Carolina Courage","Jaelene Hinkle",74.3,58.7,63.8,59.8,1
PASS-20190413CHINC-164,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Lynn Williams",69.2,58,79.4,56.1,1
PASS-20190413CHINC-165,20190413CHINC,"Lynn Williams","North Carolina Courage","Crystal Dunn",76.8,54.7,69.6,49.6,1
PASS-20190413CHINC-166,20190413CHINC,"Crystal Dunn","North Carolina Courage","Sam Mewis",71.4,46.7,67.7,32.5,1
PASS-20190413CHINC-167,20190413CHINC,"Sam Mewis","North Carolina Courage","Merritt Mathias",71.7,27.2,81.4,4.4,1
PASS-20190413CHINC-168,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Sam Mewis",105,0,95.9,3.5,1
PASS-20190413CHINC-169,20190413CHINC,"Sam Mewis","North Carolina Courage","Sam Kerr",95.9,3.5,100.7,34.7,0
PASS-20190413CHINC-17,20190413CHINC,"Stephanie Labbe","North Carolina Courage","Abby Dahlkemper",14.7,33.4,39.8,14.4,1
PASS-20190413CHINC-170,20190413CHINC,"Abby Erceg","North Carolina Courage","Jaelene Hinkle",39.6,48.2,46.9,58.2,1
PASS-20190413CHINC-171,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Crystal Dunn",46.9,58.2,75.2,62.4,1
PASS-20190413CHINC-172,20190413CHINC,"Crystal Dunn","North Carolina Courage","Jessica McDonald",75.9,60.6,92.8,58,1
PASS-20190413CHINC-173,20190413CHINC,"Jessica McDonald","North Carolina Courage","Lynn Williams",99,67.7,95.9,43.7,1
PASS-20190413CHINC-174,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Jaelene Hinkle",22.6,7.9,33.6,10.4,0
PASS-20190413CHINC-175,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Denise O'Sullivan",71.3,55.2,75.5,45,1
